c,k*,n*,time
1.1974651310018771,2.0,22.0,0.03499126434326172
1.121582498644142,3.0,53.0,0.11050009727478027
1.088479393130804,4.0,95.0,0.3636631965637207
1.069695999750235,5.0,150.0,1.203840970993042
1.057541908420001,6.0,216.0,3.3592450618743896
1.0490183436458993,7.0,295.0,8.303575277328491
1.042704078032219,8.0,385.0,18.11575698852539
1.037836115857008,9.0,488.0,35.89883732795715
1.0339673501969422,10.0,602.0,66.91556000709534
1.0308181188140797,11.0,729.0,119.92111468315125
1.028204400854507,12.0,867.0,199.62969756126404
1.0260000920124352,13.0,1018.0,321.48075461387634
1.024115851676941,14.0,1180.0,508.06768822669983
1.0224866018151046,15.0,1355.0,755.2524547576904
1.021063806842291,16.0,1541.0,1136.847339630127
