c,k*,n*,time
1.2001084387302399,2.0,21.0,0.03517770767211914
1.1220052987337112,3.0,52.0,0.10168790817260742
1.0886034592986107,4.0,94.0,0.3760519027709961
1.06974495947361,5.0,149.0,1.1917495727539062
1.0575650110840797,6.0,215.0,3.264195442199707
1.049030639231205,7.0,294.0,8.036935806274414
1.0427112150937319,8.0,384.0,17.392751693725586
1.0378405395895243,9.0,487.0,35.63680148124695
1.0339702367782593,10.0,601.0,90.27205014228821
1.0308200819417834,11.0,728.0,114.79111623764038
1.028205782175064,12.0,866.0,191.92316007614136
1.0260010920464993,13.0,1017.0,309.0238559246063
1.024116593413055,14.0,1179.0,491.579069852829
1.0224871635437012,15.0,1354.0,737.4869182109833
1.0210642400197685,16.0,1540.0,1111.7492458820343
1.0198108642362058,17.0,1739.0,1672.062979221344
1.0186984078027308,18.0,1949.0,2486.3969848155975
1.0177043504081666,19.0,2172.0,3688.6571474075317
