c,k*,n*,time
1.1987860563088666,2.0,22.0,0.03742170333862305
1.121793878769947,3.0,52.0,0.1022191047668457
1.088541424447157,4.0,95.0,0.37156009674072266
1.0697204793318196,5.0,149.0,1.2260544300079346
1.0575534596889546,6.0,216.0,3.4529292583465576
1.0490244914205376,7.0,294.0,8.717165470123291
1.042707646556869,8.0,385.0,18.436266660690308
1.0378383277209091,9.0,487.0,36.61681818962097
1.0339687934865935,10.0,602.0,93.07110857963562
1.0308191003774643,11.0,728.0,116.21193051338196
1.0282050915145535,12.0,867.0,195.16889762878418
1.0260005920293453,13.0,1017.0,327.8652877807617
1.024116222544931,14.0,1180.0,524.6333115100861
1.0224868826793643,15.0,1354.0,778.8646595478058
1.0210640234310067,16.0,1541.0,1135.8058516979218
